Time,Open,High,Low,Last,Change,%Chg,Volume
01/05/2022,126.2104,126.2104,125.1929,125.2217,-0.7391,-0.59%,16780024
01/04/2022,125.692,125.98,125.4521,125.9608,0.1056,+0.08%,19530779
01/03/2022,126.4984,126.508,125.8552,125.8552,-1.3535,-1.06%,18959274
12/31/2021,127.4103,127.6935,127.1415,127.2087,-0.192,-0.15%,8869898
12/30/2021,127.0743,127.4295,126.8055,127.4007,0.5088,+0.40%,5799331
12/29/2021,127.0743,127.1943,126.7118,126.8919,-0.7008,-0.55%,7566251
12/28/2021,128.015,128.0632,127.4247,127.5927,-0.1632,-0.13%,7150796
12/27/2021,127.4199,127.8614,127.3623,127.7559,0.3744,+0.29%,9109185
12/23/2021,127.4487,127.4967,127.1127,127.3815,-0.192,-0.15%,8751867
12/22/2021,127.5447,127.5783,127.2515,127.5735,0.2016,+0.16%,8178484
12/21/2021,126.2104,127.3767,126.2104,127.3719,0.2496,+0.20%,13473194
12/20/2021,127.4487,127.5783,127.0455,127.1223,-0.5568,-0.44%,13471215
12/17/2021,127.5255,127.8039,127.5255,127.6791,0.2976,+0.23%,9118458
12/16/2021,127.4583,127.7655,127.2087,127.3815,-0.0038,0.00%,10157190
12/15/2021,126.8201,127.4524,126.7722,127.3853,0.1628,+0.13%,21485957
12/14/2021,127.4524,127.5865,127.05,127.2225,-0.5748,-0.45%,18500992
12/13/2021,127.7302,128.0895,127.6919,127.7973,0.5748,+0.45%,10713384
12/10/2021,127.7015,127.7398,127.165,127.2225,0.1438,+0.11%,13352009
12/09/2021,127.3662,127.5722,127.0308,127.0787,-0.1054,-0.08%,12888694
12/08/2021,127.7111,127.7686,126.9829,127.1841,-0.8527,-0.67%,18169818
12/07/2021,128.0368,128.4488,127.8835,128.0368,0.0575,+0.04%,18096856
12/06/2021,128.5829,128.6069,127.9123,127.9793,-0.6515,-0.51%,26440593
12/03/2021,127.5386,128.9182,127.4907,128.6308,1.0634,+0.83%,26866548
12/02/2021,127.2991,127.644,127.0404,127.5674,0.297,+0.23%,18063136
