Time,Open,High,Low,Last,Change,%Chg,Volume
06/20/2019,123.5035,124.0564,123.2062,123.485,0.3253,+0.26%,11538082
06/19/2019,122.5279,123.327,122.2677,123.1597,0.1765,+0.14%,12873607
06/18/2019,123.3456,123.4571,122.6068,122.9832,0.6133,+0.50%,11106651
06/17/2019,122.0911,122.4349,121.8495,122.3699,0.2137,+0.17%,6506913
06/14/2019,121.8216,122.3885,121.8123,122.1562,0.3067,+0.25%,6283394
06/13/2019,121.5429,121.961,121.5336,121.8495,0.4181,+0.34%,5984330
06/12/2019,121.1619,121.4964,121.0783,121.4314,0.093,+0.08%,5680742
06/11/2019,121.1898,121.5057,121.0969,121.3384,0.0743,+0.06%,5504685
06/10/2019,121.4314,121.4537,121.0969,121.2641,-1.1522,-0.94%,8920319
06/07/2019,122.4628,122.723,122.1357,122.4163,1.05,+0.87%,12245239
06/06/2019,121.7008,122.277,121.0969,121.3663,0.3903,+0.32%,10353770
06/05/2019,121.2827,121.6823,120.911,120.976,-0.6877,-0.57%,9486492
06/04/2019,122.0911,122.4349,121.3106,121.6637,-1.4031,-1.14%,15335326
06/03/2019,122.5743,123.1969,122.2398,123.0668,0.8177,+0.67%,19179815
05/31/2019,121.3867,122.314,121.3032,122.2491,1.5116,+1.25%,20417464
05/30/2019,119.9308,120.7654,119.5183,120.7375,1.0293,+0.86%,14045477
05/29/2019,120.2461,120.4593,119.6248,119.7082,0.2782,+0.23%,14299754
05/28/2019,118.9478,119.532,118.7763,119.43,0.9366,+0.79%,8733521
05/24/2019,118.2894,118.4934,118.1318,118.4934,0.102,+0.09%,5372235
05/23/2019,117.6681,118.7809,117.6588,118.3914,1.3168,+1.12%,10507227
05/22/2019,116.6295,117.1488,116.5831,117.0746,0.6676,+0.57%,6120086
05/21/2019,116.4719,116.5831,116.1937,116.407,-0.1854,-0.16%,4337318
05/20/2019,116.9541,117.1952,116.5182,116.5924,-0.2411,-0.21%,6516711
05/17/2019,117.1024,117.121,116.5553,116.8335,0.2596,+0.22%,5119032
05/16/2019,116.6666,116.6851,116.407,116.5739,-0.3894,-0.33%,8267121
05/15/2019,117.0375,117.0932,116.6295,116.9633,0.714,+0.61%,10316249
05/14/2019,116.3884,116.5182,116.1009,116.2493,-0.3431,-0.29%,6136368
05/13/2019,116.2864,116.7779,116.1473,116.5924,0.9088,+0.79%,11324633
05/10/2019,115.8135,116.3328,115.5353,115.6836,-0.1577,-0.14%,6511104
05/09/2019,116.0175,116.1937,115.2756,115.8413,0.4729,+0.41%,10149851
05/08/2019,116.0546,116.1936,115.2663,115.3684,-0.5007,-0.43%,7448959
05/07/2019,115.4796,116.0453,115.3498,115.8691,0.881,+0.77%,9689064
05/06/2019,115.2756,115.3405,114.9186,114.9881,0.3152,+0.27%,4833912
05/03/2019,114.6729,114.8722,114.4039,114.6729,0.3246,+0.28%,6676954
05/02/2019,114.6914,114.8119,114.0979,114.3483,-0.5471,-0.48%,7131273
05/01/2019,114.7007,115.4054,114.6172,114.8954,0.472,+0.41%,15498472
04/30/2019,113.7756,114.5067,113.7571,114.4234,0.583,+0.51%,8599265
04/29/2019,114.0348,114.1458,113.6831,113.8404,-0.7311,-0.64%,11072300
04/26/2019,114.7288,114.7658,114.4142,114.5715,0.3887,+0.34%,6430427
04/25/2019,114.2753,114.3956,113.9144,114.1828,-0.1666,-0.15%,5814683
04/24/2019,113.9237,114.3679,113.9052,114.3494,0.9254,+0.82%,7891015
04/23/2019,113.461,113.5443,113.2574,113.424,0.2406,+0.21%,6742840
04/22/2019,113.3315,113.424,113.114,113.1834,-0.546,-0.48%,6744569
04/18/2019,113.6461,113.9144,113.6183,113.7294,0.5923,+0.52%,29814295
04/17/2019,113.0168,113.4241,112.9983,113.1371,0.0462,+0.04%,6612086
04/16/2019,113.3685,113.4795,113.0261,113.0909,-0.7125,-0.63%,9647370
04/15/2019,113.6183,113.8127,113.5628,113.8034,0.2869,+0.25%,3317551
04/12/2019,113.7201,113.8774,113.4795,113.5165,-0.8144,-0.71%,7570394
04/11/2019,114.6825,114.7658,114.2013,114.3309,-0.6755,-0.59%,9379157
04/10/2019,114.9971,115.2285,114.8398,115.0064,0.2776,+0.24%,8126271
04/09/2019,114.9509,115.0573,114.5344,114.7288,0.3609,+0.32%,7586385
04/08/2019,114.59,114.701,114.3031,114.3679,-0.4071,-0.35%,4804937
04/05/2019,114.3956,114.9046,114.3586,114.775,0.148,+0.13%,6831780
04/04/2019,114.3771,114.6455,114.2291,114.627,0.3239,+0.28%,8108332
04/03/2019,114.3864,114.627,114.1643,114.3031,-0.9994,-0.87%,11246606
04/02/2019,115.1915,115.4292,114.974,115.3025,0.2128,+0.18%,10509182
04/01/2019,115.941,116.0026,114.9231,115.0897,-1.6583,-1.42%,17831997
03/29/2019,116.0462,116.7757,116.0093,116.748,-0.1108,-0.09%,11741630
03/28/2019,116.5725,116.9788,116.3509,116.8588,0.4063,+0.35%,9902235
03/27/2019,115.8062,116.6556,115.7046,116.4525,1.0619,+0.92%,15386527
03/26/2019,115.1413,115.6861,115.0675,115.3906,-0.0831,-0.07%,8125011
03/25/2019,115.2429,116.2863,114.9658,115.4737,0.1846,+0.16%,10544796
03/22/2019,114.6889,115.6769,114.5504,115.2891,1.7636,+1.55%,14162607
03/21/2019,113.5347,113.6547,113.3316,113.5255,0.2493,+0.22%,7778766
03/20/2019,112.4082,113.4331,112.399,113.2762,1.1727,+1.05%,10964026
03/19/2019,111.8081,112.2928,111.6234,112.1035,-0.2493,-0.22%,5653674
03/18/2019,112.2513,112.5283,112.2022,112.3528,-0.0647,-0.06%,4216510
03/15/2019,112.4082,112.6021,112.0943,112.4175,0.7387,+0.66%,4659136
03/14/2019,112.3621,112.4267,111.6511,111.6788,-0.8125,-0.72%,8868281
03/13/2019,112.3344,112.6114,112.2974,112.4913,-0.2124,-0.19%,4750871
03/12/2019,112.002,112.8607,111.9604,112.7037,0.7848,+0.70%,6955458
03/11/2019,112.0943,112.1128,111.7065,111.9189,-0.3324,-0.30%,5586198
03/08/2019,111.8358,112.3621,111.5818,112.2513,0.4709,+0.42%,8141684
03/07/2019,111.3926,111.965,111.3649,111.7804,0.7203,+0.65%,8866870
03/06/2019,110.7277,111.2817,110.7,111.0601,0.4062,+0.37%,8411470
03/05/2019,110.1368,110.6816,110.1276,110.6539,0.2309,+0.21%,6059802
03/04/2019,110.146,110.5892,109.9337,110.423,0.8587,+0.78%,10622664
03/01/2019,110.183,110.3676,109.5459,109.5643,-1.0222,-0.92%,14665134
02/28/2019,111.084,111.1393,110.3008,110.5865,-0.3777,-0.34%,10346639
02/27/2019,111.6,111.6092,110.826,110.9642,-1.2716,-1.13%,8397438
02/26/2019,112.1621,112.245,111.8212,112.2358,0.5529,+0.50%,6543082
02/25/2019,111.6461,111.7659,111.4157,111.6829,-0.3317,-0.30%,6830366
02/22/2019,111.9225,112.3602,111.8764,112.0146,0.6634,+0.60%,6918276
02/21/2019,111.5539,111.6369,111.213,111.3512,-1.0044,-0.89%,8012697
02/20/2019,112.3648,112.4846,112.0331,112.3556,-0.3225,-0.29%,4835898
02/19/2019,112.7978,112.9084,112.3648,112.6781,0.2857,+0.25%,6373773
02/15/2019,112.0054,112.4293,111.987,112.3924,0.175,+0.16%,5998696
02/14/2019,112.5398,112.5951,112.0239,112.2174,0.6358,+0.57%,6369540
02/13/2019,111.6277,111.8488,111.4065,111.5816,-0.4192,-0.37%,5163444
02/12/2019,112.0976,112.1805,111.6737,112.0008,-0.2903,-0.26%,8616777
02/11/2019,112.2819,112.5767,112.1805,112.2911,-0.4422,-0.39%,4724329
02/08/2019,112.6504,112.8439,112.4753,112.7333,0.4791,+0.43%,6387453
02/07/2019,111.9133,112.3279,111.7014,112.2542,0.7371,+0.66%,9530059
02/06/2019,111.8212,111.8672,111.2407,111.5171,0.0553,+0.05%,5626218
02/05/2019,111.2407,111.7014,111.1762,111.4618,0.5068,+0.46%,7578898
02/04/2019,110.9735,111.0748,110.5865,110.955,-0.4976,-0.45%,9731168
02/01/2019,111.9317,112.0146,111.3466,111.4526,-0.6772,-0.60%,13050242
01/31/2019,111.7437,112.3229,111.6977,112.1298,0.9561,+0.86%,12882744
01/30/2019,111.091,111.2197,110.6221,111.1737,-0.0828,-0.07%,11499008
01/29/2019,110.806,111.2748,110.6773,111.2565,0.5608,+0.51%,6254709
01/28/2019,110.8152,111.1829,110.6957,110.6957,-0.1103,-0.10%,7000585
01/25/2019,110.8611,111.0082,110.6129,110.806,-0.5332,-0.48%,7027780
01/24/2019,111.1553,111.4771,110.9715,111.3392,0.7263,+0.66%,7746352
01/23/2019,110.2084,110.8887,110.1625,110.6129,-0.046,-0.04%,6283865
