Date,Open,High,Low,Close,Adj Close,Volume
2023-01-10,75.760002,75.870003,75.529999,75.709999,74.551056,35695500
2023-01-11,76.000000,76.250000,75.849998,76.209999,75.043404,31826700
2023-01-12,76.400002,76.699997,76.050003,76.639999,75.466820,29404900
2023-01-13,76.260002,76.769997,76.220001,76.639999,75.466820,26301500
2023-01-17,76.519997,76.550003,76.290001,76.379997,75.210800,30961200
2023-01-18,76.849998,77.080002,76.449997,76.470001,75.299423,52989700
2023-01-19,76.209999,76.330002,75.949997,76.019997,74.856300,50070900
2023-01-20,76.000000,76.169998,75.730003,76.169998,75.004013,36625400
2023-01-23,76.099998,76.370003,75.970001,76.160004,74.994171,26764800
2023-01-24,76.010002,76.250000,75.879997,76.209999,75.043404,27774500
2023-01-25,75.959999,76.279999,75.879997,76.199997,75.033546,25857700
2023-01-26,76.360001,76.470001,76.089996,76.389999,75.220650,25512400
2023-01-27,76.269997,76.370003,76.050003,76.160004,74.994171,35813400
2023-01-30,75.879997,76.029999,75.720001,75.739998,74.580589,32002000
2023-01-31,75.940002,76.360001,75.919998,76.330002,75.161568,41006600
2023-02-01,75.980003,76.980003,75.779999,76.760002,75.951164,46900900
2023-02-02,77.320000,77.339996,77.070000,77.199997,76.386520,56399900
2023-02-03,76.599998,76.860001,76.330002,76.389999,75.585060,39682300
2023-02-06,76.059998,76.099998,75.790001,75.900002,75.100220,40944200
2023-02-07,75.830002,76.360001,75.779999,76.169998,75.367371,37101300
2023-02-08,76.059998,76.160004,75.690002,75.849998,75.050743,34066600
2023-02-09,76.110001,76.110001,75.290001,75.360001,74.565910,42581900
2023-02-10,75.029999,75.250000,74.690002,74.779999,73.992020,65905000
2023-02-13,74.830002,75.220001,74.750000,74.970001,74.180016,38741300
2023-02-14,74.830002,75.190002,74.510002,74.989998,74.199806,54193600
2023-02-15,74.720001,74.879997,74.580002,74.870003,74.081078,44897600
2023-02-16,74.540001,74.589996,74.230003,74.269997,73.487389,89945400
2023-02-17,74.150002,74.680000,73.870003,74.559998,73.774338,75910300
2023-02-21,73.849998,74.029999,73.110001,73.410004,72.636459,98782400
2023-02-22,73.599998,74.190002,73.599998,73.889999,73.111397,70093300
2023-02-23,74.230003,74.730003,74.129997,74.620003,73.833710,47908100
2023-02-24,74.000000,74.320000,73.919998,74.169998,73.388451,47576500
2023-02-27,74.519997,74.769997,74.379997,74.669998,73.883179,40292000
2023-02-28,74.639999,74.639999,74.419998,74.529999,73.744659,32999000
2023-03-01,74.080002,74.099998,73.690002,73.870003,73.535606,45341400
2023-03-02,73.480003,74.050003,73.480003,73.959999,73.625198,37886100
2023-03-03,74.290001,74.809998,74.169998,74.720001,74.381760,50123300
2023-03-06,74.889999,74.989998,74.660004,74.720001,74.381760,33430800
2023-03-07,74.730003,74.769997,74.180000,74.190002,73.854156,40222100
2023-03-08,74.239998,74.360001,73.690002,73.839996,73.505737,54303900
2023-03-09,73.910004,74.220001,73.349998,73.430000,73.097595,52669500
